condition,run,iteration,worker,candidate,navigation_score,distance_integral_L,release_elapsed,total_horizon,success
with_shelf,1,9,1,34,-1.718596782440883,1.718596782440883,37.26240539550781,300.0,True
with_shelf,1,9,2,35,-1.6270046304130306,1.6270046304130306,34.82051086425781,300.0,True
with_shelf,1,9,3,36,-1.7667237045597646,1.7667237045597646,40.18843078613281,300.0,True
with_shelf,1,10,0,37,-1.6300541912992768,1.6300541912992768,34.99650573730469,300.0,True
with_shelf,1,10,1,38,-1.635061453445002,1.635061453445002,35.035003662109375,300.0,True
with_shelf,1,10,2,39,-1.6370335057930498,1.6370335057930498,34.990997314453125,300.0,True
with_shelf,1,10,3,40,-1.6290483159214395,1.6290483159214395,34.941497802734375,300.0,True
with_shelf,1,11,0,41,-1.6270046304130306,1.6270046304130306,34.82051086425781,300.0,True
with_shelf,1,11,1,42,-1.6284870912514888,1.6284870912514888,34.853515625,300.0,True
with_shelf,1,11,2,43,-1.626783921431965,1.626783921431965,34.853515625,300.0,True
with_shelf,1,11,3,44,-1.6295104926247848,1.6295104926247848,34.936004638671875,300.0,True
with_shelf,1,12,0,45,-1.62962787170895,1.62962787170895,34.92498779296875,300.0,True
with_shelf,1,12,1,46,-1.6689065378799874,1.6689065378799874,35.717010498046875,300.0,True
with_shelf,1,12,2,47,-1.6293329395811986,1.6293329395811986,34.80950927734375,300.0,True
with_shelf,1,12,3,48,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,13,0,49,-1.6388691106116426,1.6388691106116426,35.34852600097656,300.0,True
with_shelf,1,13,1,50,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,13,2,51,-1.6395586614925952,1.6395586614925952,35.183502197265625,300.0,True
with_shelf,1,13,3,52,-1.6268101859356379,1.6268101859356379,34.8590087890625,300.0,True
with_shelf,1,14,0,53,-1.6274372800190477,1.6274372800190477,34.80950927734375,300.0,True
with_shelf,1,14,1,54,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,14,2,55,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,14,3,56,-1.6412740192583688,1.6412740192583688,35.128509521484375,300.0,True
with_shelf,1,15,0,57,-1.6306225086815234,1.6306225086815234,34.837005615234375,300.0,True
with_shelf,1,15,1,58,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,15,2,59,-1.622827205630383,1.622827205630383,34.71051025390625,300.0,True
with_shelf,1,15,3,60,-1.6396797654275739,1.6396797654275739,35.073516845703125,300.0,True
with_shelf,1,16,0,61,-1.635773800369782,1.635773800369782,35.08451843261719,300.0,True
with_shelf,1,16,1,62,-1.656457228352719,1.656457228352719,35.38702392578125,300.0,True
with_shelf,1,16,2,63,-1.626685017501373,1.626685017501373,34.672027587890625,300.0,True
with_shelf,1,16,3,64,-3.58037659220905,3.58037659220905,122.67724609375,300.0,True
with_shelf,1,17,0,65,-1.626685017501373,1.626685017501373,34.672027587890625,300.0,True
with_shelf,1,17,1,66,-1.6660124615863783,1.6660124615863783,35.89300537109375,300.0,True
with_shelf,1,17,2,67,-1.63313540437758,1.63313540437758,35.01850891113281,300.0,True
with_shelf,1,17,3,68,-1.649699377795192,1.649699377795192,35.425506591796875,300.0,True
