panel,condition,iteration,center,lower,upper,run_count
a,without_shelf,14,-5.195398433259916,-9.415204838151773,-1.8019695309846724,5
a,without_shelf,15,-5.178855900828688,-9.342227841787171,-1.8019695309846724,5
a,without_shelf,16,-4.352991470290552,-9.342227841787171,-1.7137411867082175,5
a,without_shelf,17,-4.352991470290552,-9.342227841787171,-1.7137411867082175,5
a,without_shelf,18,-4.333114685773483,-9.342227841787171,-1.6830658826235871,5
a,without_shelf,19,-4.327316382402796,-9.342227841787171,-1.6540743657701529,5
a,without_shelf,20,-4.32694394865839,-9.342227841787171,-1.6526465280433276,5
b,with_shelf,1,62.3038330078125,51.800270080566406,77.66796875,3
b,with_shelf,2,77.66796875,56.6622314453125,125.7373046875,4
b,with_shelf,3,71.09552001953125,46.345672607421875,114.59087371826172,4
b,with_shelf,4,51.47444152832031,47.033294677734375,92.98809814453125,5
b,with_shelf,5,46.76104736328125,43.95050048828125,51.47444152832031,5
b,with_shelf,6,46.38702392578125,45.727020263671875,51.47444152832031,5
b,with_shelf,7,49.1617431640625,45.79302978515625,55.08515930175781,5
b,with_shelf,8,44.0467529296875,36.47053527832031,46.48328399658203,5
b,with_shelf,9,44.58851623535156,38.076416015625,45.99102783203125,5
b,with_shelf,10,44.022003173828125,34.993751525878906,45.61152648925781,5
b,with_shelf,11,44.022003173828125,34.853515625,45.779266357421875,5
b,with_shelf,12,44.04125213623047,34.86724853515625,45.18251037597656,5
b,with_shelf,13,44.310760498046875,35.02125549316406,45.259521484375,5
b,with_shelf,14,43.98625183105469,34.760009765625,45.22100830078125,5
b,with_shelf,15,41.42045593261719,34.77375793457031,45.872764587402344,5
b,with_shelf,16,40.64495849609375,35.23577117919922,44.92396545410156,5
b,with_shelf,17,41.50846862792969,35.222007751464844,45.80952453613281,5
b,with_shelf,18,39.173683166503906,35.14501190185547,45.149505615234375,5
b,with_shelf,19,39.28643798828125,33.96800231933594,46.073516845703125,5
b,with_shelf,20,36.61346435546875,33.84011459350586,72.23831558227539,4
b,without_shelf,1,41.31597900390625,41.31597900390625,41.31597900390625,1
b,without_shelf,2,85.77241516113281,63.54419708251953,108.0006332397461,2
b,without_shelf,3,110.92100524902344,75.47772216796875,188.58806610107422,3
b,without_shelf,4,85.72831726074219,63.59638977050781,175.9917221069336,3
b,without_shelf,5,78.58370971679688,59.22794723510742,166.15216064453125,3
b,without_shelf,6,86.98779296875,63.34886169433594,165.76722717285156,3
b,without_shelf,7,82.0460205078125,62.68475341796875,172.8003158569336,3
b,without_shelf,8,86.58906555175781,62.812618255615234,172.60503387451172,3
b,without_shelf,9,95.9583740234375,67.62240600585938,177.5592041015625,3
b,without_shelf,10,86.81996154785156,62.5911865234375,168.5762710571289,3
b,without_shelf,11,81.29254150390625,60.05986022949219,163.0928497314453,3
b,without_shelf,12,73.85934448242188,56.732391357421875,168.6024627685547,3
b,without_shelf,13,73.46060180664062,58.081295013427734,159.45465087890625,3
b,without_shelf,14,76.80450439453125,58.312217712402344,145.2315216064453,3
b,without_shelf,15,72.159912109375,59.53472900390625,142.9092254638672,3
b,without_shelf,16,80.24755096435547,63.832895278930664,118.68910217285156,4
b,without_shelf,17,80.20217895507812,62.966670989990234,118.68910217285156,4
b,without_shelf,18,72.0361328125,52.85768508911133,139.2531280517578,3
b,without_shelf,19,54.177650451660156,43.60256576538086,64.75273513793945,2
b,without_shelf,20,80.60774993896484,62.82563781738281,131.24562072753906,4
