iteration,frame_index_zero_based,center_x,center_y
0,70,1366.282958984375,765.6544799804688
0,71,1366.66552734375,761.6619262695312
0,72,1366.0986328125,758.208740234375
0,73,1365.2032470703125,755.2603149414062
0,74,1364.866943359375,751.5182495117188
0,75,1365.2066650390625,747.693603515625
0,76,1364.52197265625,744.0558471679688
0,77,1363.5101318359375,741.3619384765625
0,78,1362.679443359375,737.8027954101562
0,79,1362.82275390625,734.1494750976562
0,80,1362.0638427734375,730.4365234375
0,81,1360.932861328125,727.8781127929688
0,82,1359.68115234375,724.6520385742188
0,83,1359.498046875,721.141845703125
0,84,1358.7359619140625,717.438720703125
0,85,1357.442626953125,714.8455200195312
0,86,1355.871826171875,711.9851684570312
0,87,1355.23095703125,708.5880737304688
0,88,1354.4677734375,704.9771118164062
0,89,1352.9932861328125,702.2678833007812
0,90,1351.2529296875,699.8165893554688
0,91,1350.1280517578125,696.5774536132812
0,92,1349.37646484375,693.1184692382812
0,93,1347.736572265625,690.2467041015625
0,94,1345.9085693359375,688.1078491210938
0,95,1344.3028564453125,685.0387573242188
0,96,1343.49609375,681.726806640625
0,97,1341.750244140625,678.6995239257812
0,98,1339.8839111328125,676.7374877929688
0,99,1337.90869140625,673.932861328125
0,100,1336.9559326171875,670.7621459960938
0,101,1335.22412109375,667.607666015625
0,102,1333.292236328125,665.630126953125
0,103,1331.0888671875,663.1354370117188
0,104,1329.86083984375,660.083251953125
0,105,1328.192138671875,656.8946533203125
0,106,1326.1278076171875,654.8119506835938
0,107,1323.8077392578125,652.6780395507812
0,108,1322.2342529296875,649.770263671875
0,109,1320.713134765625,646.633544921875
0,110,1318.529296875,644.3806762695312
0,111,1316.16748046875,642.5589599609375
0,112,1314.1820068359375,639.8046264648438
0,113,1312.7432861328125,636.7713012695312
0,114,1310.4395751953125,634.3309326171875
0,115,1308.0977783203125,632.7760620117188
0,116,1305.7421875,630.2860717773438
0,117,1304.2646484375,627.442138671875
0,118,1301.8890380859375,624.8980102539062
0,119,1299.510009765625,623.5040893554688
0,120,1296.852294921875,621.4038696289062
0,121,1295.1680908203125,618.7957763671875
0,122,1292.79931640625,616.2451171875
0,123,1290.318603515625,614.9215698242188
0,124,1287.50341796875,613.2761840820312
0,125,1285.55712890625,610.9295043945312
0,126,1283.3548583984375,608.4691772460938
0,127,1280.7340087890625,607.0903930664062
0,128,1277.902099609375,605.8878784179688
0,129,1275.5517578125,603.770263671875
0,130,1273.4039306640625,601.3687744140625
0,131,1270.59375,599.8314208984375
0,132,1267.776611328125,598.9382934570312
0,133,1265.0321044921875,597.033447265625
0,134,1262.9664306640625,594.712890625
0,135,1260.085205078125,592.9400634765625
0,136,1257.26513671875,592.103515625
0,137,1254.2269287109375,590.3587646484375
0,138,1252.1734619140625,588.0658569335938
0,139,1249.32470703125,585.9702758789062
0,140,1246.60888671875,584.994140625
0,141,1243.6390380859375,583.410888671875
0,142,1241.57763671875,581.018310546875
0,143,1239.0338134765625,578.5214233398438
0,144,1236.437255859375,577.1085205078125
0,145,1233.5518798828125,575.4363403320312
0,146,1231.5029296875,572.83056640625
0,147,1229.491943359375,569.9449462890625
0,148,1227.0653076171875,567.9758911132812
0,149,1224.5516357421875,566.2363891601562
0,150,1222.5101318359375,563.473876953125
0,151,1220.9471435546875,560.3492431640625
0,152,1218.6099853515625,557.805908203125
0,153,1216.35595703125,555.945556640625
0,154,1214.2926025390625,553.0479736328125
0,155,1213.1402587890625,549.7643432617188
0,156,1211.1591796875,546.7368774414062
0,157,1209.1724853515625,544.672119140625
