"replicate_id","condition","iteration","best_distance_integral_score"
"transfer_1","two_dimensional_champion","38","-2.037246827105129"
"transfer_1","two_dimensional_champion","39","-2.037246827105129"
"transfer_1","two_dimensional_champion","40","-2.037246827105129"
"transfer_2","two_dimensional_champion","0","-10.14857923578245"
"transfer_2","two_dimensional_champion","1","-6.5015371988139075"
"transfer_2","two_dimensional_champion","2","-6.5015371988139075"
"transfer_2","two_dimensional_champion","3","-6.5015371988139075"
"transfer_2","two_dimensional_champion","4","-6.5015371988139075"
"transfer_2","two_dimensional_champion","5","-6.5015371988139075"
"transfer_2","two_dimensional_champion","6","-6.5015371988139075"
"transfer_2","two_dimensional_champion","7","-2.177769940741458"
"transfer_2","two_dimensional_champion","8","-2.166739150062756"
"transfer_2","two_dimensional_champion","9","-2.1059427935321167"
"transfer_2","two_dimensional_champion","10","-2.1059427935321167"
"transfer_2","two_dimensional_champion","11","-2.1059427935321167"
"transfer_2","two_dimensional_champion","12","-2.1056528633311515"
"transfer_2","two_dimensional_champion","13","-2.104376070617728"
"transfer_2","two_dimensional_champion","14","-2.104376070617728"
"transfer_2","two_dimensional_champion","15","-2.09209615941827"
"transfer_2","two_dimensional_champion","16","-2.0891051941003234"
"transfer_2","two_dimensional_champion","17","-2.0891051941003234"
"transfer_2","two_dimensional_champion","18","-2.0891051941003234"
"transfer_2","two_dimensional_champion","19","-2.0789190230522414"
"transfer_2","two_dimensional_champion","20","-2.076216773680958"
"transfer_2","two_dimensional_champion","21","-2.0692361383243707"
"transfer_2","two_dimensional_champion","22","-2.0692361383243707"
"transfer_2","two_dimensional_champion","23","-2.0692361383243707"
"transfer_2","two_dimensional_champion","24","-2.040308604014672"
"transfer_2","two_dimensional_champion","25","-1.9971013158907356"
"transfer_2","two_dimensional_champion","26","-1.9641918126867877"
"transfer_2","two_dimensional_champion","27","-1.8240874025494431"
"transfer_2","two_dimensional_champion","28","-1.8240874025494431"
"transfer_2","two_dimensional_champion","29","-1.8240874025494431"
"transfer_2","two_dimensional_champion","30","-1.8220345181404238"
"transfer_2","two_dimensional_champion","31","-1.820083387798368"
"transfer_2","two_dimensional_champion","32","-1.820083387798368"
"transfer_2","two_dimensional_champion","33","-1.820083387798368"
"transfer_2","two_dimensional_champion","34","-1.820083387798368"
"transfer_2","two_dimensional_champion","35","-1.820083387798368"
"transfer_2","two_dimensional_champion","36","-1.8102490496305215"
"transfer_2","two_dimensional_champion","37","-1.7935425313489863"
"transfer_2","two_dimensional_champion","38","-1.7933679192044254"
"transfer_2","two_dimensional_champion","39","-1.7876816739115389"
"transfer_2","two_dimensional_champion","40","-1.7876816739115389"
"transfer_3","two_dimensional_champion","0","-10.039065568903576"
"transfer_3","two_dimensional_champion","1","-9.399413720878542"
"transfer_3","two_dimensional_champion","2","-9.399413720878542"
"transfer_3","two_dimensional_champion","3","-9.399413720878542"
"transfer_3","two_dimensional_champion","4","-9.399413720878542"
"transfer_3","two_dimensional_champion","5","-8.689727609682844"
"transfer_3","two_dimensional_champion","6","-8.689727609682844"
"transfer_3","two_dimensional_champion","7","-8.689727609682844"
"transfer_3","two_dimensional_champion","8","-8.318558570794355"
"transfer_3","two_dimensional_champion","9","-8.318558570794355"
"transfer_3","two_dimensional_champion","10","-8.113301329866257"
"transfer_3","two_dimensional_champion","11","-2.0934040439392456"
