case_id,stage,phase_id,ablation,termination,peak_abs_crossflow_time_T,peak_abs_crossflow_signed_value_U,peak_abs_crossflow_magnitude_U,peak_abs_crossflow_distance_L,peak_abs_crossflow_bearing_rad,peak_abs_yaw_moment_time_T,peak_abs_yaw_moment_signed_value_L2,global_yaw_moment_peak_time_minus_crossflow_peak_time_T,crossflow_response_window_T,crossflow_response_window_clock_basis,crossflow_response_window_coverage_tolerance_T,crossflow_response_window_coverage_T,crossflow_response_window_complete,crossflow_response_lateral_force_rms,crossflow_response_peak_abs_lateral_force,crossflow_response_peak_abs_lateral_force_lag_T,crossflow_response_yaw_moment_rms,crossflow_response_peak_abs_yaw_moment,crossflow_response_peak_abs_yaw_moment_lag_T,crossflow_response_yaw_rate_rms,crossflow_response_peak_abs_yaw_rate,crossflow_response_peak_abs_yaw_rate_lag_T
iteration_7__phase_1__nominal,iteration_7,phase_1,nominal,target_reached,29.304107666015625,-0.6774003505706787,0.6774003505706787,5.087493419647217,0.345079243183136,9.48748779296875,3.190302729564941,-19.816619873046875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,43.27120248931263,122.43045749712846,0.03851318359375,0.1598887150814234,0.4469668359611205,0.0605010986328125,2.30603512776722,3.621108055114746,0.53900146484375
iteration_7__phase_2__nominal,iteration_7,phase_2,nominal,target_reached,35.618072509765625,0.7046715021133423,0.7046715021133423,3.2337725162506104,-0.2777785360813141,9.025482177734375,3.7767503296245195,-26.59259033203125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,61.1988671535371,165.96495827184026,0.511474609375,0.20616187751252824,0.5050030698601518,0.50048828125,2.1632553775331367,3.515899896621704,0.302490234375
iteration_12__phase_0__nominal,iteration_12,phase_0,nominal,target_reached,28.616409301757812,-0.7163864970207214,0.7163864970207214,3.850505828857422,0.29880598187446594,7.5624542236328125,-2.4371462666123307,-21.053955078125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,38.952169661799175,124.63235410979772,0.04400634765625,0.15146845233368758,0.405419962056385,0.04400634765625,2.352964001459411,3.659450054168701,0.52801513671875
iteration_12__phase_1__nominal,iteration_12,phase_1,nominal,target_reached,34.0560302734375,0.696445643901825,0.696445643901825,2.29175066947937,-0.23117750883102417,8.310638427734375,3.4575662040040243,-25.745391845703125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,49.27062714516118,145.83606895163652,0.15399169921875,0.18124606213651404,0.4903707595729543,0.1154937744140625,2.2029229204101113,3.54512882232666,0.3135223388671875
iteration_12__phase_2__nominal,iteration_12,phase_2,nominal,target_reached,36.99842834472656,0.7027205228805542,0.7027205228805542,1.1331642866134644,-0.20416614413261414,9.256484985351562,5.705411166338763,-27.741943359375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,31.901878221300244,85.3138046007401,0.4895172119140625,0.14663572817366638,0.35111295851838875,0.4895172119140625,2.1575625872975475,3.4974331855773926,0.3079986572265625
iteration_18__phase_0__nominal,iteration_18,phase_0,nominal,target_reached,27.956405639648438,-0.720943808555603,0.720943808555603,3.7959513664245605,0.3030226230621338,6.10491943359375,3.2334792618394204,-21.851486206054688,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,33.68448825207021,81.4294625082396,0.3905181884765625,0.13935140212535335,0.3228151579673977,0.3135223388671875,2.3009024959559543,3.664275646209717,0.5390167236328125
iteration_18__phase_1__nominal,iteration_18,phase_1,nominal,target_reached,9.87249755859375,0.7864452600479126,0.7864452600479126,11.759079933166504,0.21446621417999268,9.87249755859375,4.524963126162788,0.0,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,377.643507299268,1809.1898501283606,0.0,0.9078324748410544,4.524963126162788,0.0,2.478812298311812,3.6073479652404785,0.500518798828125
iteration_18__phase_2__nominal,iteration_18,phase_2,nominal,target_reached,7.760467529296875,0.7108036279678345,0.7108036279678345,12.348213195800781,0.2938702702522278,6.220458984375,4.256836016657985,-1.540008544921875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,405.4647434284531,1573.026212562141,0.0384979248046875,0.9851860703404027,3.7652247364276263,0.0384979248046875,2.3003525548061323,3.5158917903900146,0.53350830078125
iteration_19__phase_1__nominal,iteration_19,phase_1,nominal,target_reached,7.590118408203125,0.7380658388137817,0.7380658388137817,12.288336753845215,0.25838997960090637,7.579132080078125,-4.300534152919596,-0.010986328125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,410.0471332550265,1794.4319191755192,0.016510009765625,1.0115804911191353,4.264082957438632,0.0275115966796875,2.4504333442762607,3.4710633754730225,0.5059967041015625
iteration_19__phase_2__nominal,iteration_19,phase_2,nominal,target_reached,7.0179443359375,0.8783712983131409,0.8783712983131409,12.483442306518555,0.3520587980747223,7.0179443359375,7.321957921460125,0.0,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,631.1689225339741,2949.417361585749,0.0,1.493229371699055,7.321957921460125,0.0,2.422044007906015,3.4892570972442627,0.506011962890625
