"case_id","event","episode_time_T","absolute_sim_time_T","distance_L","bearing_rad","relative_crossflow_body_y_U","body_axis_force","yaw_moment_z_L2","vtk_available","vtk_synchronized","vtk_synchronization_tolerance_T","vtk_frame_index","vtk_sim_time_T","vtk_time_delta_T"
"iteration_6__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_6__phase_0__nominal","peak_absolute_crossflow","42.069488525390625","242.06948852539062","2.4790492057800293","-0.25417864322662354","0.6797739863395691","-9.491475488478947","0.18139033377792657","True","False","0.05","5","245.72702026367188","3.65753173828125"
"iteration_6__phase_0__nominal","peak_absolute_yaw_moment","14.470489501953125","214.47048950195312","13.236133575439453","0.5232332944869995","0.4077392816543579","-285.37314691551956","1.7270237842183178","True","False","0.05","2","212.50152587890625","-1.968963623046875"
"iteration_6__phase_0__nominal","first_near_target","42.575469970703125","242.57546997070312","2.2488656044006348","0.2133893221616745","-0.5778173208236694","40.31398926853457","0.08190176192467646","True","False","0.05","5","245.72702026367188","3.15155029296875"
"iteration_6__phase_0__nominal","final","45.721527099609375","245.72152709960938","0.7529562711715698","-0.615006685256958","0.16585761308670044","2.0406859869746783","0.03473755774906806","True","True","0.05","5","245.72702026367188","0.0054931640625"
"iteration_7__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_7__phase_0__nominal","peak_absolute_crossflow","29.221435546875","229.221435546875","4.288857936859131","0.2662683129310608","-0.6850401163101196","-39.22794434355","-0.39408417018967157","True","False","0.05","3","225.00302124023438","-4.218414306640625"
"iteration_7__phase_0__nominal","peak_absolute_yaw_moment","9.635986328125","209.635986328125","12.258157730102539","0.26555100083351135","0.17360007762908936","393.03388310535314","-2.1662418822059237","True","False","0.05","2","212.50152587890625","2.86553955078125"
"iteration_7__phase_0__nominal","first_near_target","33.50047302246094","233.50047302246094","2.2477495670318604","0.3635922968387604","-0.40555331110954285","6.5265049858481","-0.031776106164759454","True","False","0.05","4","236.4705352783203","2.970062255859375"
"iteration_7__phase_0__nominal","final","36.46502685546875","236.46502685546875","0.7503118515014648","-0.27915874123573303","0.5224006175994873","-8.616444459085791","0.1575566422375232","True","True","0.05","4","236.4705352783203","0.0055084228515625"
"iteration_12__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_12__phase_0__nominal","peak_absolute_crossflow","28.616409301757812","228.6164093017578","3.850505828857422","0.29880598187446594","-0.7163864970207214","-1.722435410964466","-0.11184144477732616","True","False","0.05","3","225.00302124023438","-3.6133880615234375"
"iteration_12__phase_0__nominal","peak_absolute_yaw_moment","7.5624542236328125","207.5624542236328","12.311551094055176","0.28122031688690186","0.15321113169193268","397.4466591854203","-2.4371462666123307","True","False","0.05","2","212.50152587890625","4.9390716552734375"
"iteration_12__phase_0__nominal","first_near_target","31.811981201171875","231.81198120117188","2.2486178874969482","-0.3023254871368408","0.09556226432323456","8.249745315899984","0.062174009210593795","True","False","0.05","4","234.71051025390625","2.898529052734375"
